id,category1,category2,question,a,b,c,answer,explanation,active
1039,勤怠管理,管理職の勤怠確認責任,テレワーク中の部下の勤怠確認として最も適切なものはどれですか,在宅勤務なので勤怠確認は不要である,成果物があれば労働時間は確認しなくてよい,始業・終業・休憩・中抜け・時間外労働の記録を確認する,C,テレワークでも労働時間管理は必要です。管理職は過度な監視ではなく、会社のルールに沿って勤務実態や業務量を確認することが適切です。在宅勤務だから確認が不要になったり、成果物さえあれば労働時間を見なくてよいということにはなりません。,TRUE
1040,社会保険,パート・アルバイトの社会保険,パート・アルバイトが社会保険に加入する場合の説明として最も適切なものはどれですか,加入は本人の希望だけで自由に取り消せる,加入すると雇用契約は必ず正社員に変わる,給与から本人負担分の保険料が控除される一方で保障が手厚くなる場合がある,C,社会保険加入により保険料負担は発生しますが、健康保険や厚生年金による保障が充実します。加入要件を満たす場合は制度上の手続が必要です。加入は本人の希望だけで自由に取り消せるものではなく、また社会保険に加入したからといって雇用契約が必ず正社員に変わるわけでもありません。,TRUE
1041,社会保険,パート・アルバイトの社会保険,パート・アルバイトが社会保険加入対象になるか確認する際に最も重要な姿勢はどれですか,年収だけを見て判断する,勤務先の規模や所定労働時間や賃金など複数の要件を確認する,雇用契約書を見ずに過去の働き方だけで判断する,B,短時間労働者の社会保険加入は複数の要件で判断します。勤務先の適用状況、所定労働時間、賃金、学生かどうか、雇用見込みなどを総合的に確認することが重要です。年収だけを見たり、雇用契約書を確認せず過去の働き方だけで判断したりすると、加入要否を誤る可能性があります。,TRUE
1042,社会保険,パート・アルバイトの社会保険,パート・アルバイトの社会保険加入について最も適切な考え方はどれですか,扶養内で働きたい場合は要件を満たしても加入しなくてよい,雇用形態名ではなく労働時間や賃金や事業所要件などで加入対象を確認する,本人が希望しなければ加入対象にならない,B,社会保険の加入対象は正社員かどうかだけで決まるものではありません。パートやアルバイトでも一定の要件を満たす場合は健康保険や厚生年金保険の加入対象となります。扶養内で働きたいという本人の希望や意向だけで、要件を満たしているのに加入を回避できるわけではありません。,TRUE
1043,社会保険,パート・アルバイトの社会保険,パート・アルバイトの社会保険加入を検討する際に会社が行う説明として最も適切なものはどれですか,社会保険加入は本人の自由なので何も案内しない,本人に説明せず一方的に勤務時間を変更する,保険料負担と将来の年金や健康保険給付などのメリットをあわせて説明する,C,社会保険加入は手取り額だけでなく保障内容にも関係します。本人が働き方を考えられるよう保険料負担と給付の両面を説明することが大切です。何も案内しなかったり、本人に説明せず一方的に勤務時間を変更したりすることは適切な対応とはいえません。,TRUE
1044,社会保険,社会保険の基本,ビジネスパーソンが社会保険を理解しておく意義として最も適切なものはどれですか,給与控除の意味や働き方による保障の違いを理解するため,会社が処理するため本人は一切確認しなくてよいため,社会保険料を自由に選ぶため,A,社会保険は給与控除だけでなく病気や出産や育児や介護や失業や老後に関係します。働き方や扶養関係が変わると手続も変わるため基本理解が重要です。手続を会社任せにして本人が内容を確認しなかったり、保険料を自由に選べると誤解したりすると、いざという時に不利益を被ることがあります。,TRUE
1045,勤怠管理,労働時間の基本,ビジネスパーソンが労働時間の基本を理解しておく意義として最も適切なものはどれですか,残業を自由に増やすためである,勤怠申告を省略するためである,適正な勤怠記録と健康的な働き方につなげるためである,C,労働時間の基本を理解することで、始業・終業・休憩・残業・休日労働を適正に記録できます。自分と職場の健康を守り適切な労務管理に協力することにつながります。労働時間の基本を理解する目的は残業を自由に増やすことや勤怠申告を省略することではなく、適正な記録と働き方の見直しにあります。,TRUE
1046,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税でワンストップ特例を利用した後に確定申告をする場合の対応として最も適切なものはどれですか,住民税だけに反映されるため何もしなくてよい,寄附先自治体に返礼品を返せば申告不要になる,確定申告でワンストップ申請済みの寄附分も含めて申告する,C,確定申告を行う場合はワンストップ特例の申請は無効となるため、申請済みの寄附分も含めてすべての寄附について寄附金控除として申告し直す必要があります。住民税だけに自動的に反映されると考えて申告を省略したり、返礼品を返送すれば申告が不要になると考えたりするのは誤りです。,TRUE
1047,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税で控除上限額を確認する理由として最も適切なものはどれですか,寄附額が多いほど必ず全額控除されるため,自己負担が想定より増えないよう所得や家族構成に応じた目安を確認するため,住民税の申告が常に不要になるため,B,ふるさと納税には控除を受けられる上限の目安があります。上限を超えた寄附は自己負担が増えるため事前確認が重要です。寄附額が多ければ必ず全額控除されるわけではなく、また上限を確認したからといって住民税の申告自体が一律に不要になるわけではありません。,TRUE
1048,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税と寄附金控除に関する説明として最も適切なものはどれですか,自治体への寄附により一定の範囲で所得税や住民税の控除を受けられる制度である,寄附した金額が必ず全額現金で戻る制度である,会社の年末調整だけで必ず完結する制度である,A,ふるさと納税は自治体への寄附であり、一定の上限内で寄附額から2,000円を除いた金額が所得税や住民税から控除される制度です。控除を受けるには確定申告またはワンストップ特例の手続きが必要です。寄附した金額が現金で戻ってくるわけではなく、また会社の年末調整だけでは手続が完結せず、確定申告やワンストップ特例の手続が必要になる点に注意が必要です。,TRUE
1049,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税の寄附金受領証明書について最も適切な説明はどれですか,確定申告で寄附金控除を受ける際に必要となる重要な資料である,返礼品を交換するためだけのチケットである,会社に提出すれば必ず年末調整で処理される,A,寄附金受領証明書は確定申告で寄附金控除を申告する際に重要な資料です。近年は電子データやマイナポータル連携を利用できる場合もあります。返礼品を受け取るための引換券ではなく、会社に提出すれば年末調整だけで処理が完了するものでもない点に注意が必要です。,TRUE
1050,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税の控除が翌年度の住民税に反映されているか確認する方法として最も適切なものはどれですか,住民税決定通知書などで寄附金税額控除の反映を確認する,返礼品の到着日だけを確認する,給与明細の基本給だけを確認する,A,ふるさと納税の控除は所得税の還付や翌年度の住民税減額に反映されます。住民税決定通知書などで反映状況を確認することが大切です。返礼品の到着日や給与明細の基本給だけを確認しても、控除が正しく反映されているかどうかは分かりません。,TRUE
1051,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税ワンストップ特例制度について最も適切な説明はどれですか,確定申告が必要な人でも常に利用できる,一定要件を満たす給与所得者などが確定申告せずに控除を受けられる仕組みである,寄附先が何団体でも利用できる,B,ワンストップ特例は、確定申告が不要な給与所得者等で、寄附先の自治体数が一定数（五つ）以内であるなどの要件を満たす場合に利用できる制度です。確定申告が必要な人（医療費控除を受ける人など）はこの特例を使えず、寄附分も含めて確定申告する必要があります。また、寄附先の自治体数が要件を超える場合も特例は使えず、通常の確定申告が必要になります。,TRUE
1052,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税を行う際に返礼品だけで判断することの注意点として最も適切なものはどれですか,控除上限額や寄附先数や申告方法を確認しないと想定外の自己負担が生じる場合がある,返礼品があれば税金の控除手続は不要になる,返礼品の金額がそのまま所得控除額になる,A,ふるさと納税では返礼品だけでなく、控除上限額や寄附先の数、ワンストップ特例か確定申告かといった手続方法を確認することが重要です。返礼品を受け取っても税金の控除手続が自動的に完了するわけではなく、返礼品の金額がそのまま所得控除額になるわけでもありません。控除を受けるには自分の年収や家族構成から算出される上限額を踏まえて寄附額を検討する必要があります。,TRUE
1053,税金・年末調整,ふるさと納税と寄附金控除,ふるさと納税を年末にまとめて行う場合の注意点として最も適切なものはどれですか,寄附日や決済日が対象年内になるか確認する,返礼品が翌年に届けば翌年分の寄附になる,寄附先が何団体でもワンストップ特例は必ず使える,A,ふるさと納税は寄附をした年分の控除対象となるため、年末に行う場合は決済日や寄附日が対象年内になっているかを確認する必要があります。返礼品の到着日ではなく、寄附の受付日や決済日が基準となる点に注意が必要です。また、ワンストップ特例は寄附先の自治体数が一定数以内であることなどの要件があり、何団体でも無条件に使えるわけではありません。,TRUE
1054,勤怠管理,フレックスタイム制,フレックスタイム制のフレキシブルタイムに関する説明として最も適切なものはどれですか,必ず勤務しなければならない時間帯である,会社が残業を命令できない時間帯である,労働者がその範囲内で始業・終業を選択できる時間帯である,C,フレキシブルタイムは、労働者が始業・終業の時刻を自らの判断で選択できる時間帯です。必ず勤務しなければならない時間帯はコアタイムと呼ばれ、フレキシブルタイムとは区別されます。また、会社が残業を命令できるかどうかは別の労働時間管理の問題であり、フレキシブルタイムの定義そのものではありません。コアタイムを設けない完全フレックスタイム制もあり、どの時間帯を自由にするかは労使協定などで明確にします。,TRUE
1055,勤怠管理,フレックスタイム制,フレックスタイム制で年次有給休暇を取得した場合の扱いとして最も適切なものはどれですか,有給休暇を取った日は労働時間をゼロとして必ず欠勤扱いにする,有給休暇を取得すると清算期間の総労働時間が自動的に消える,労使協定で定める標準となる1日の労働時間を用いて労働したものとして扱う,C,フレックスタイム制では、労使協定で標準となる1日の労働時間を定めます。年次有給休暇を取得した場合は、出勤しなくてもこの標準労働時間分を労働したものとみなして扱うため、欠勤扱いにする必要はありません。また、有給休暇の取得によって清算期間の総労働時間の枠自体が消えるわけではなく、通常どおり総労働時間との過不足を計算します。,TRUE
1056,勤怠管理,フレックスタイム制,フレックスタイム制における時間外労働の考え方として最も適切なものはどれですか,1日8時間を超えたら必ずその日の時間外労働になる,清算期間における実労働時間が法定労働時間の総枠を超えた場合などに時間外労働となる,フレックスタイム制では時間外労働は発生しない,B,フレックスタイム制では日々の労働時間にばらつきがあるため、時間外労働は1日ごとではなく清算期間全体の実労働時間が法定労働時間の総枠を超えたかどうかで判断するのが基本です。ただし清算期間が1か月を超える場合は、各月ごとの労働時間の上限確認も必要になります。フレックスタイム制であっても時間外労働自体が生じないわけではありません。,TRUE
1057,勤怠管理,フレックスタイム制,フレックスタイム制の基本的な考え方として最も適切なものはどれですか,勤怠記録を不要にする制度である,会社が日ごとに勤務時間を一方的に変更できる制度である,労働者が清算期間内の総労働時間を踏まえて始業・終業時刻を決められる制度である,C,フレックスタイム制は、一定の清算期間における総労働時間をあらかじめ定めたうえで、労働者が日々の始業・終業時刻を自律的に決められる制度です。自由度の高い制度ですが、勤怠記録が不要になるわけではなく、労働時間の把握・管理は引き続き必要です。また、会社が日ごとに勤務時間を一方的に変更できる制度でもありません。,TRUE
1058,勤怠管理,フレックスタイム制,フレックスタイム制を適正に運用するために最も重要なことはどれですか,毎月の過不足を記録せず年度末にまとめて調整する,清算期間・総労働時間・コアタイム・申請ルール・時間外労働の確認方法を明確にする,自由な制度なので上司は勤務状況を確認しない,B,フレックスタイム制は柔軟な働き方を可能にする一方で、清算期間や総労働時間、コアタイムの有無、申請ルール、時間外労働の確認方法などを明確にしておくことが重要です。毎月の過不足を放置して年度末にまとめて調整すると管理が煩雑になり、賃金精算にも支障が出かねません。自由な制度だからといって上司が勤務状況を確認しなくてよいわけではなく、適切な労務管理は引き続き求められます。,TRUE
1059,勤怠管理,フレックスタイム制,フレックスタイム制を導入する際に必要な手続として最も適切なものはどれですか,勤怠システムを導入すれば労使協定は不要である,就業規則等に定め労使協定で対象者や清算期間などを定める,管理職が承認すれば就業規則の整備は不要である,B,フレックスタイム制を導入するには、始業・終業時刻を労働者の決定に委ねることを就業規則等に定め、あわせて労使協定で対象者や清算期間、総労働時間などを定める必要があります。勤怠システムを導入しても労使協定の締結が不要になるわけではなく、管理職の承認だけで就業規則の整備を省略できるわけでもありません。,TRUE
1060,社会保険,傷病手当金,メンタルヘルス不調で休業する場合の傷病手当金について最も適切な考え方はどれですか,精神疾患は傷病手当金の対象にならない,業務外の病気として労務不能などの要件を満たせば対象となる場合がある,本人の自己申告だけで必ず支給される,B,メンタルヘルス不調でも、業務外の病気として療養のため労務不能であることなど傷病手当金の要件を満たす場合は支給対象となり得ます。精神疾患であることを理由に一律で対象外となるわけではありません。支給には医師の意見書や会社の証明など所定の申請手続が必要であり、本人の自己申告だけで自動的に支給されるわけではありません。,TRUE
1061,勤怠管理,長時間労働と健康管理,医師による面接指導の目的として最も適切なものはどれですか,本人の私生活を詳しく調査するため,疲労の蓄積や心身の状態を確認し必要な就業上の措置につなげるため,残業代を減らすため,B,医師による面接指導は、長時間労働などにより疲労が蓄積した労働者の心身の状態を確認し、必要に応じて労働時間の短縮や業務内容の見直しといった就業上の措置につなげるためのものです。本人の私生活を詳しく調査することを目的とするものではなく、残業代の削減を目的とした制度でもありません。あくまで労働者の健康確保が主な目的です。,TRUE
1062,税金・年末調整,医療費控除と確定申告,医療費控除で家族分の医療費を含める場合の考え方として最も適切なものはどれですか,生計を一にする配偶者や親族のために支払った医療費も対象となる場合がある,同居していない家族の医療費は常に対象外である,医療費控除は本人分だけに限られる,A,医療費控除では本人だけでなく、生計を一にする配偶者や親族のために支払った医療費も対象となる場合があります。同居していなくても仕送りなどで生計を一にしていれば対象になり得るため、同居の有無だけで一律に対象外と判断することはできません。誰が実際に医療費を支払ったかや生計関係を確認することが重要です。,TRUE
1063,税金・年末調整,医療費控除と確定申告,医療費控除で保険金などの補てんがある場合の処理として最も適切なものはどれですか,支払った医療費から補てんされた金額を差し引いて計算する,補てんされた金額も医療費に加算する,保険金の有無は申告に関係しない,A,医療費控除では実際に自己負担した医療費をもとに計算するため、生命保険の給付金や高額療養費などで補てんされた金額は支払った医療費から差し引く必要があります。補てんされた金額を医療費に加算することはなく、保険金の有無は申告内容に影響するため無関係ではありません。,TRUE
1064,税金・年末調整,医療費控除と確定申告,医療費控除とセルフメディケーション税制について最も適切な説明はどれですか,両方を同じ年に重複して適用できる,市販薬の購入費は常にすべて医療費控除の対象外である,一定の条件のもとでどちらか一方を選択して適用する制度である,C,医療費控除とセルフメディケーション税制は選択適用の制度であり、同じ年に重複して適用することはできません。市販薬の購入費であっても、通常の治療目的の医薬品であれば医療費控除の対象となる場合があり、常にすべて対象外というわけではありません。どちらを選ぶ方が有利か、対象となる支出や必要書類を確認して判断することが大切です。,TRUE
1065,税金・年末調整,ふるさと納税と寄附金控除,医療費控除とふるさと納税を併用する場合の注意点として最も適切なものはどれですか,医療費控除を申告する場合でもワンストップ特例は必ず有効である,確定申告で医療費控除とふるさと納税の寄附金控除をあわせて申告する必要がある,医療費控除を使うとふるさと納税は一切できない,B,医療費控除を受けるには確定申告が必要であり、その場合はワンストップ特例を申請済みの寄附についても改めて確定申告で寄附金控除として申告する必要があります。ワンストップ特例は確定申告をしないことを前提とした制度のため、医療費控除の確定申告をする場合は自動的に無効になります。また、医療費控除を利用してもふるさと納税自体ができなくなるわけではありません。,TRUE
1066,税金・年末調整,医療費控除と確定申告,医療費控除に関する説明として最も適切なものはどれですか,一定額を超える医療費を支払った場合に確定申告で所得控除を受けられる制度である,美容目的の支出は常に全額対象になる制度である,会社の年末調整だけで必ず受けられる控除である,A,医療費控除は、本人や生計を一にする家族の医療費が一定額を超える場合に確定申告によって受けられる所得控除です。美容目的の支出は治療目的とは異なり、通常は対象外とされています。また、医療費控除は年末調整では処理されず、必ず確定申告が必要です。,TRUE
1067,税金・年末調整,医療費控除と確定申告,医療費控除の対象を整理する際に最も適切な考え方はどれですか,領収書がある支出はすべて対象になる,保険金で補てんされた金額も控除額に含める,治療目的か美容目的かなど支出内容を確認して対象可否を判断する,C,医療費控除では、治療目的の支出かどうかがポイントであり、美容目的など治療に関係しない支出は対象外となります。領収書があるからといって、内容を問わずすべての支出が対象になるわけではありません。また、保険金などで補てんされた金額は控除額の計算上差し引く必要があり、そのまま控除額に含めることはできません。,TRUE
1068,税金・年末調整,医療費控除と確定申告,医療費控除の明細書について最も適切な説明はどれですか,医療費控除を受ける際に医療費の内容を整理して申告するための書類である,年末調整の扶養控除等申告書と同じ書類である,会社が必ず全従業員分を作成する,A,医療費控除の明細書は、支払った医療費の内容を項目ごとに整理して確定申告の際に提出するための書類です。年末調整で使用する扶養控除等申告書とは別の書類であり、会社が全従業員分を一括して作成するものでもありません。医療費通知を活用したり領収書を整理したりして、正確に記載することが大切です。,TRUE
1069,税金・年末調整,医療費控除と確定申告,医療費控除の領収書の扱いとして最も適切なものはどれですか,提出したらすぐにすべて廃棄してよい,申告後も一定期間保存しておく必要がある,会社に提出すれば保存不要になる,B,医療費控除では明細書を提出する一方で、内容確認のために領収書を一定期間保存しておく必要がある場合があります。提出後すぐにすべて廃棄してよいわけではなく、会社に提出したからといって保存が不要になるわけでもありません（そもそも医療費控除は会社の年末調整ではなく確定申告で行います）。後日の確認に備えて整理して保管しておくことが大切です。,TRUE
1070,社会保険,出産・育児に関する給付,育児休業給付と社会保険料免除について確認する際に最も適切な姿勢はどれですか,育児休業を取ればすべて自動で処理される,給付申請と社会保険料免除の要件や手続をそれぞれ確認する,どちらも所得税の制度である,B,育児休業中には、雇用保険から支給される育児休業給付や、健康保険・厚生年金保険の保険料免除など複数の制度が関係しますが、それぞれ要件や申請手続が異なります。育児休業を取得しただけですべてが自動的に処理されるわけではなく、また所得税の制度でもないため、会社と本人がそれぞれの制度について必要な確認と手続を行うことが重要です。,TRUE
1071,社会保険,出産・育児に関する給付,育児休業給付について最も適切な考え方はどれですか,育児休業を取得する雇用保険被保険者が一定要件を満たす場合に対象となる,子どもが成人するまで毎月支給される,健康保険から支給される医療費補助である,A,育児休業給付は雇用保険の給付制度であり、育児休業を取得する雇用保険の被保険者が、休業開始前の一定の被保険者期間などの要件を満たす場合に対象となります。子どもが成人するまで継続して支給されるものではなく、給付には対象となる期間が定められています。また、健康保険からの医療費補助でもありません。申請期限や支給対象期間を確認することが重要です。,TRUE
1072,社会保険,出産・育児に関する給付,育児休業等給付を検討する際に最も適切な対応はどれですか,本人が申請しなくても必ず会社が給与として支払う,対象となる休業や雇用保険加入要件や申請期限を早めに確認する,健康保険証を提示すれば自動支給される,B,育児休業等給付は雇用保険の制度であり、対象となる休業の種類や雇用保険の加入要件、申請期限などを早めに確認しておくことが大切です。給付は本人からの申請手続を経て支給されるものであり、申請せずに会社が給与として自動的に支払うものではありません。また、健康保険証の提示だけで自動的に支給されるものでもありません。,TRUE
1073,社会保険,扶養と社会保険,家族の扶養状況が変わった場合の対応として最も適切なものはどれですか,会社に伝えず年末調整だけで処理する,必要な書類を確認し速やかに会社へ届け出る,扶養から外れても保険証はそのまま使う,B,家族の就職、退職、収入の増加、結婚、離婚などにより扶養状況が変わった場合は、健康保険や年金の手続に影響するため、必要な書類を確認して速やかに会社へ届け出る必要があります。会社に伝えず年末調整だけで済ませてしまうと、保険料や税金の計算に誤りが生じるおそれがあります。また、扶養から外れた場合はその健康保険証は使用できなくなるため、そのまま使い続けることはできません。,TRUE
1074,税金・年末調整,年末調整の基本,課税所得に関する説明として最も適切なものはどれですか,所得から所得控除を差し引いた税額計算の基礎となる金額である,給与の手取り額そのものである,社会保険料の会社負担額である,A,所得税は、給与などの所得から各種の所得控除を差し引いた課税所得をもとに税額を計算します。課税所得は給与の手取り額そのものではなく、社会保険料の会社負担額でもありません。生命保険料控除や扶養控除などの所得控除の内容によって課税所得の金額、ひいては税額が変わってきます。,TRUE
1075,社会保険,介護休業に関する給付,介護休業に関する給付を理解しておく意義として最も適切なものはどれですか,介護と仕事の両立に必要な制度や給付を早めに確認できるため,介護休業中は会社との連絡が一切不要になるため,給付を受ければ介護費用がすべて無料になるため,A,介護は家族に突然発生することが多く、事前に介護休業や介護休業給付の基本的な仕組みを知っておくことで、仕事を続けながら必要な手続きを早めに検討しやすくなります。介護休業を取得しても会社との連絡が一切不要になるわけではなく、給付を受けたからといって介護費用がすべて無料になるわけでもありません。制度を正しく理解し、勤務先や関係機関に相談することが大切です。,TRUE
1076,社会保険,介護休業に関する給付,介護休業を検討する従業員に対して職場が行う対応として最も適切なものはどれですか,退職を前提に話を進める,介護の詳細を職場全員に共有させる,制度や給付や業務引継ぎについて早めに相談できる環境を整える,C,介護休業は仕事と介護の両立を支える制度です。個人情報に配慮しながら制度説明や業務調整を行い、離職防止につなげることが重要です。退職を前提に話を進めたり、介護の事情を職場全員に共有させたりする対応は、本人の意向やプライバシーを軽視することになるため適切ではありません。,TRUE
1077,社会保険,介護休業に関する給付,介護休業給付と介護保険サービスの違いとして最も適切なものはどれですか,どちらも会社が任意で支給する福利厚生である,介護休業給付は休業中の所得補填に関係し介護保険は介護サービス利用に関係する,介護保険は会社を休んだ日数に応じて給与を補填する制度である,B,介護休業給付は雇用保険による休業中の生活支援で、介護保険は介護サービス利用を支える制度です。目的と申請先が異なるため区別して理解する必要があります。介護休業給付は会社の任意の福利厚生ではなく雇用保険の給付であり、介護保険も会社を休んだ日数に応じて給与を補填する制度ではないため、混同しないよう注意が必要です。,TRUE
1078,社会保険,介護休業に関する給付,介護休業給付に関する説明として最も適切なものはどれですか,介護休業中の生活を支援する雇用保険の給付である,介護サービス費用を全額会社が補助する制度である,健康保険から必ず支給される医療給付である,A,介護休業給付は雇用保険の制度であり家族の介護のために休業する労働者の生活を支援する給付です。対象家族や雇用保険の加入状況など要件確認が必要です。介護サービス費用を会社が全額補助する制度でも、健康保険から必ず支給される医療給付でもない点に注意が必要です。,TRUE
1079,社会保険,介護休業に関する給付,介護休業給付の申請に関する説明として最も適切なものはどれですか,本人が会社を休めば自動的に振り込まれる,年末調整で申請する,雇用保険の要件や休業実績などを確認して所定の手続きを行う,C,介護休業給付は雇用保険の給付であり、受給には要件確認と申請手続が必要です。休業開始前後に会社やハローワークの手続を確認することが重要です。休業すれば自動的に振り込まれるものではなく、また年末調整で申請する制度でもないため、所定の手続きを踏む必要があります。,TRUE
1080,社会保険,介護休業に関する給付,介護休業給付を受けるために確認すべきこととして最も適切なものはどれですか,会社を休まず働きながらでも常に支給される,雇用保険の被保険者期間や休業内容などの要件を確認する,介護保険料を払っていれば必ず支給される,B,介護休業給付は雇用保険の給付であり、一定の被保険者期間や介護休業の取得などの要件が関係します。早めの確認が重要です。会社を休まず働きながら常に支給されるものではなく、また介護保険料を払っているだけで必ず支給されるものでもないため、要件を事前に確認する必要があります。,TRUE
1081,社会保険,介護休業に関する給付,介護休業給付を利用する際の職場対応として最も適切なものはどれですか,介護の事情を詳しく職場全員に説明させる,本人のプライバシーに配慮しながら手続と業務引継ぎを支援する,給付申請は本人だけで完結するので会社は関与しない,B,介護休業では個人情報に配慮しながら、制度説明、必要書類、業務引継ぎ、復帰時の対応を整理することが重要です。介護の事情を職場全員に詳しく説明させることは本人の意向を尊重しない対応であり、また給付申請を本人だけに任せて会社が関与しないことも望ましくありません。,TRUE
1082,社会保険,介護保険,介護保険サービスを利用する場合の基本的な流れとして最も適切なものはどれですか,会社の承認だけで利用できる,市区町村で要介護認定などの手続きを行い必要なサービスにつなげる,年末調整で申請する,B,介護保険サービスの利用には市区町村での要介護認定などの手続が関係します。会社の休業制度や給付とは別に、公的介護サービスの手続を理解することが大切です。会社の承認だけで利用できるものではなく、年末調整で申請する制度でもないため、公的な手続きの流れを正しく理解しておく必要があります。,TRUE
1083,社会保険,介護保険,介護保険と健康保険の違いとして最も適切なものはどれですか,どちらも医療費の窓口負担だけを軽減する制度である,介護保険は介護サービス利用を支え健康保険は医療や傷病などを支える制度である,介護保険は雇用保険の一部である,B,介護保険は介護サービス利用を支える制度であり、健康保険は医療や傷病手当金などに関係する制度です。目的の違いを理解することが大切です。どちらも単に医療費の窓口負担を軽減するだけの制度ではなく、また介護保険は雇用保険の一部でもないため、それぞれ独立した制度であることを押さえておく必要があります。,TRUE
1084,社会保険,介護保険,介護保険に関する説明として最も適切なものはどれですか,高齢期などの介護サービスを社会全体で支える制度である,会社が任意で設ける福利厚生制度である,老後の年金を直接増額する制度である,A,介護保険は介護が必要になった人を社会全体で支える公的制度です。医療保険や年金とは目的が異なるため区別して理解することが大切です。会社が任意で設ける福利厚生制度ではなく、老後の年金を直接増額する制度でもないため、公的介護保険としての位置づけを正しく理解する必要があります。,TRUE
1085,社会保険,介護保険,介護保険の被保険者について理解する際に最も適切な考え方はどれですか,雇用保険に加入している人だけが対象である,介護が必要になった人だけが保険料を払う,年齢区分に応じて保険料負担やサービス利用の仕組みが異なる,C,介護保険は年齢区分により保険料負担や利用条件が異なります。給与明細に介護保険料が表示される時期を理解しておくと控除内容を確認しやすくなります。雇用保険に加入している人だけが対象となる制度ではなく、また介護が必要になった人だけが保険料を払う仕組みでもないため、年齢に応じた制度の枠組みを理解しておくことが重要です。,TRUE
1086,社会保険,介護保険,介護保険をビジネスパーソンが理解しておく意義として最も適切なものはどれですか,介護に直面したときに利用できる公的サービスや費用負担の考え方を把握するため,所得税を減らすためだけ,介護休業給付を自動的に受け取るため,A,介護は本人だけでなく家族にも関わる可能性があります。介護保険の基本を知ることで、いざというときに相談先や利用可能なサービスを確認しやすくなります。介護保険は所得税を減らすための制度ではなく、また加入していれば介護休業給付を自動的に受け取れるわけでもないため、それぞれの制度を混同しないよう注意が必要です。,TRUE
1087,社会保険,介護保険,介護保険料が給与明細に表示された場合の理解として最も適切なものはどれですか,将来必ず全額返金される積立金である,所得税の一種として控除されている,一定年齢に達したことなどにより公的制度の保険料として控除されている,C,介護保険料は公的制度の保険料として一定年齢以降に給与控除される場合があります。給与明細で控除内容を確認することが重要です。将来全額が返金される積立金でも、所得税の一種でもないため、公的な社会保険料としての性質を正しく理解しておく必要があります。,TRUE
1088,社会保険,介護保険,介護保険料についてビジネスパーソンが知っておくべきこととして最も適切なものはどれですか,雇用保険に加入していれば介護保険料は不要である,介護サービスを利用しなければ保険料は発生しない,一定年齢以上になると健康保険料とあわせて給与から控除される場合がある,C,介護保険料は一定年齢以降に健康保険料とあわせて給与控除される場合があります。給与明細で控除の意味を理解しておくことが重要です。雇用保険に加入していれば不要になるものではなく、また介護サービスを利用していなくても一定年齢に達すれば負担が生じる制度であるため注意が必要です。,TRUE
1089,法務・コンプライアンス,国際取引,海外代理店や販売店を利用する場合の注意点として最も適切なものはどれですか,代理店に任せれば自社の法令リスクはなくなる,契約書を作らず実績を見てから条件を決める,代理店の役割や報酬や再委託や贈収賄防止条項などを確認する,C,海外代理店を通じた不適切な支払いを含め自社のリスクになり得ます。業務範囲や報酬の合理性やコンプライアンス義務や再委託の制限などを契約で明確にすることが重要です。代理店に任せきりにしても自社の法令リスクが消えるわけではなく、契約書を作らないまま取引実績を優先することも大きなリスクとなるため、事前の契約整備が欠かせません。,TRUE
1090,勤怠管理,管理職の勤怠確認責任,管理職が勤怠確認責任を果たすために最も有効な取り組みはどれですか,毎月の承認を形式的に一括処理する,勤怠管理は部下本人だけの責任とする,勤怠データを定期的に確認し部下と業務量や働き方を話し合う,C,管理職は勤怠データを確認するだけでなく、業務量、納期、働き方、健康状態を部下と確認することが大切です。早めの対話が長時間労働や未申告残業の防止につながります。承認を形式的に一括処理したり、勤怠管理を部下本人だけの責任としたりする対応では実態把握につながらないため注意が必要です。,TRUE
1091,勤怠管理,休憩時間の管理,管理職が部下の休憩時間を確認する際の対応として最も適切なものはどれですか,勤怠上休憩になっていれば実態確認は不要である,休憩時間中に業務対応をしていないか確認し必要に応じて業務調整する,繁忙期は休憩を取らせない運用にする,B,管理職は部下が実際に休憩を取れているか確認する役割があります。休憩中の電話番や業務対応が常態化している場合は業務体制を見直す必要があります。勤怠記録上休憩になっていても実態確認を怠ってよいわけではなく、繁忙期であっても休憩を取らせない運用は労働基準法に照らして問題となり得ます。,TRUE
1092,勤怠管理,管理職の勤怠確認責任,管理職が部下の勤怠を確認する主な目的として最も適切なものはどれですか,部下を細かく監視して自由を制限するため,残業時間を少なく見せるため,労働時間の実態を把握し適正な賃金支払や健康管理につなげるため,C,管理職の勤怠確認は部下を監視して自由を制限するためのものではなく、実際の労働時間を正しく把握し、未払い残業や長時間労働による健康リスクを防ぐために重要です。残業時間を実態より少なく見せるための確認であってはならず、正確な記録に基づいた適正な賃金支払いと健康管理が求められます。,TRUE
